Variant	Deck	Keywords	HP	Nemesis Icon	Innate Power		Extra Text	Incapacitated				Set	Complexity	
					Name	Effect		Caption	Option 1	Option 2	Option 3			
Base	Absolute Zero	Hero	29	[Absolute Zero]	Thermodynamics	POWER: Absolute Zero deals himself either 1 cold damage or 1 fire damage.		Desperate Last Moments!	1 Hero takes their POWER PHASE.	Destroy 1 target with 2 or fewer HP.	Select 1 Hero target. Until your START PHASE, +1 damage dealt by that target.	Core Game	8	Absolute Zero 1
First Appearance	Absolute Zero	Hero	27	[Absolute Zero]	Lose Your Cool	POWER: Absolute Zero deals 2 Hero targets and up to 2 non-Hero targets 1 cold damage each.		A World of Cold	1 Hero takes their DRAW PHASE.	Bury 1 non-target Environment card.	Discard the top card of up to 3 decks.	Core Game	-	Absolute Zero 2
Base	Alpha	Hero, Werewolf	32	Apex	Prowl	POWER: Either discover 1 Aspect card or Alpha deals 1 target 2 melee damage.		A Horrible Truth	1 Hero takes their POWER PHASE.	1 Hero collects 1 Ongoing card.	Select 1 Hero target. Until your START PHASE, +1 damage dealt by that target.	Rook City Renegades	7	Alpha 1
First Appearance	Alpha	Hero, Werewolf	29	Apex	Hidden Nature	POWER: Alpha regains 2 HP. Reveal the top card of your deck. If it is an Aspect card, play it. Otherwise, draw it.		The Wolf: Amok	1 Hero takes their PLAY PHASE.	Bury 1 non-target Environment card.	1 target deals itself 2 psychic damage.	Rook City Renegades	-	Alpha 2
Reporter	Alpha	Hero, Werewolf	31	Apex	Tabitha Taft On the Scene	POWER: Draw 2 cards. You may bury 1 Aspect card from play or your hand. If you do, reveal the top 2 cards of 1 deck and replace them in any order.		Breaking News	1 Hero takes their DRAW PHASE.	1 Hero draws 3 cards and discards 2 cards.	Reveal the top card of each deck. Discard 1 revealed card and replace the others.	Rook City Renegades	-	Alpha 3
2000	Alpha	Hero, Werewolf	30	Apex	Wolf-Tek Barrage	POWER: Alpha deals 1 target 1 energy damage. Alpha deals up to X targets 1 energy damage each, where X is the number of Aspect cards in play.		Canceled!	1 Hero takes their POWER PHASE.	1 Hero salvages 1 Ongoing card.	Destroy up to 3 targets with 1 HP.	Rook City Renegades	-	Alpha 4
Base	The Argent Adept	Hero	24	Akash'Bhuta	Vocalize	POWER: Activate 1 Perform.		Virtuoso's Final Note	1 Hero takes their POWER PHASE.	1 target regains 2 HP.	Select 1 damage type. Until your START PHASE, +1 damage dealt of that type by hero targets.	Core Game	10	Argent Adept, The 1
First Appearance	The Argent Adept	Hero	21	Akash'Bhuta	Improvise	POWER: Play the top card of your deck. If it is an Ongoing card, activate the Perform on it.		The Void: Untamed!	1 Hero takes their PLAY PHASE.	1 Hero discovers 1 Ongoing card.	Destroy up to 2 targets with 1 HP.	Core Game	-	Argent Adept, The 2
Base	Bunker	Hero	30	[Bunker]	Initialize	POWER: Either draw 1 card, or put the top card of your deck under 1 Ordnance card in play.		Impossible Destruction	1 Hero takes their PLAY PHASE.	1 Hero salvages 1 card.	Select 1 hero target. Until your START PHASE, -2 damage dealt to that target.	Core Game	5	Bunker 1
First Appearance	Bunker	Hero	28	[Bunker]	Dispatch	POWER: Either Bunker deals 1 target 2 melee damage, or salvage 1 Item card.		Armored Unit M.I.A.	1 Hero takes their POWER PHASE.	Destroy 1 Ongoing card.	1 Hero target deals 1 target 2 projectile damage.	Core Game	-	Bunker 2
Stealth Suit	Bunker	Hero	25	[Bunker]	Silent Running	POWER: Collect 1 Ongoing card. You may play 1 card.		Time to Go Loud	1 Hero takes their PLAY PHASE.	Destroy 1 Ongoing card.	1 Environment target deals 3 targets 2 fire damage each. Destroy that Environment target.	Rook City Renegades	-	Bunker 3
Base	Captain Cosmic	Hero	27	[Captain Cosmic]	Fabrication	POWER: Reveal the top card of your deck. Play it or draw it.		Painful Revelations	1 Hero takes their PLAY PHASE.	1 Hero takes their POWER PHASE.	Until your START PHASE, -2 damage dealt to all targets.	Core Game	6	Captain Cosmic 1
First Appearance	Captain Cosmic	Hero	28	[Captain Cosmic]	Cosmic Pummel	POWER: 1 Construct card in play regains 3 HP, then deals 1 target 4 melee damage.		Starstruck Rube	1 Hero takes their DRAW PHASE.	Reveal the top card of 1 deck. Replace or discard it.	Select 1 target. Until your START PHASE, -1 damage dealt by that target.	Core Game	-	Captain Cosmic 2
Base	Expatriette	Hero	28	Citizen Dawn	Quick Draw	POWER: Expatriette deals 1 target 2 projectile damage. You may play 1 Item card.		Caught in the Sun	1 Hero takes their PLAY PHASE.	1 Hero discovers 1 Item card.	1 Hero deals 1 target 2 projectile damage.	Rook City Renegades	4	Expatriette 1
First Appearance	Expatriette	Hero	29	Citizen Dawn	Soldier of Misfortune	POWER: Discover 1 Item card. If that card is an Ammo card, draw 2 cards.		Hard Lesson Learned	1 Hero takes their PLAY PHASE.	1 Hero discovers 1 Ongoing card.	Destroy 1 Item card. Each target in the play area of the destroyed Item card regains 3 HP.	Rook City Renegades	-	Expatriette 2
Dark Watch	Expatriette	Hero	27	Citizen Dawn	.50 Cal. Sniper Rifle	POWER: Either discard or destroy 1 Ammo card. If you do, Expatriette deals 1 target 5 fixed projectile damage.		Lead Poisoning	1 Hero takes their POWER PHASE.	Destroy 1 Ongoing card.	Play the top card of the Environment deck. Bury 1 Environment card.	Rook City Renegades	-	Expatriette 3
Eclipse	Expatriette	Hero	30	Citizen Dawn	Secret Plans	POWER: Draw 4 cards. Discard any Item cards drawn this way.		Bad Choices for Good	1 Hero takes their PLAY PHASE.	Destroy 1 Environment target with 4 or fewer HP.	Bury 1 Device card.	Rook City Renegades	-	Expatriette 4
